,Occupation Title,SOC Code,Typical entry-level education,2017_median_income,2016_median_income,2015_median_income,2014_median_income,2013_median_income,2012_median_income,2011_median_income,2010_median_income,2009_median_income,2008_median_income,2007_median_income
33,Civil engineers    * Architectural Engineer* Bridge Engineer* Civil Engineer* Construction Engineer* Facilities Engineer* Geotechnical Engineer* Highway Engineer* Hydrographic Engineer* Railroad Design Consultant* Research Hydraulic Engineer* Structural Engineer,17-2051,Bachelor's degree,84770,83540,82220,82050,80770,79340,77990,77560,         76590,         74600,         71710
34,Clergy    * Cantor* Children's Pastor* College Chaplain* Hebrew Cantor* Hospital Chaplain* Imam* Minister* Parish Priest* Pastor* Priest* Rabbi* Reverend* Vicar* Youth Pastor,21-2011,Bachelor's degree,47100,45740,44250,43950,43800,44060,44140,43970,         42950,         41730,         40460
35,Coaches and scouts    * Athletic Coach* Baseball Coach* Baseball Scout* Basketball Coach* Boxing Trainer* Coach* Football Coach* Hockey Scout* Ice Skating Coach* Riding Coach* Ski Coach* Tennis Coach* Tennis Instructor,27-2022,Bachelor's degree,32270,31460,31000,30640,29150,28360,28470,28340,         28380,         28340,         27840
36,Commercial and industrial designers    * Automobile Designer* Bank Note Designer* Bicycle Designer* Car Body Designer* Ceramic Designer* Ceramic Mold Designer* Furniture Designer* Package Designer* Rug Designer* Snowboard Designer* Textile Designer* Tile Designer* Toy Designer,27-1021,Bachelor's degree,65970,67790,67130,64620,62370,59610,60760,58230,         58060,         57350,         56550
37,Compliance officers    * Air Pollution Compliance Inspector* Compliance Investigator* Driver's License Examiner* EEO Officer* Environmental Compliance Inspector* Equal Employment Opportunity Investigator* Equal Employment Opportunity Officer* Equal Employment Opportunity Representative* Immigration Investigator* Inspector of Weights and Measures* License Inspector* Mortician Investigator* Wage and Hour Investigator,13-1041,Bachelor's degree,67870,66540,65640,64950,64340,62020,60740,58720,         49750,         48890,         48400
38,Computer and information systems managers    * Application Development Director* Chief Technology Officer* Computer Operations Manager* Computer Security Manager* Data Operations Director* Data Processing Manager* Information Systems Director* Information Systems Manager* Information Technology Director* Information Technology Systems Director* Internet Technology Manager* MIS Director* Management Information Systems Director,11-3021,Bachelor's degree,139220,135800,131600,127640,123950,120950,118010,115780,        113720,        112210,        108070
39,Computer hardware engineers    * Computer Hardware Designer* Computer Hardware Developer* Computer Hardware Engineer,17-2061,Bachelor's degree,115120,115080,111730,108430,104250,100920,98610,98810,         98820,         97400,         91860
40,Conservation scientists    * Conservation Science Officer* Conservation Scientist* Grassland Conservationist* Land Reclamation Specialist* Land Resource Specialist* Range Conservationist* Range Ecologist* Range Scientist* Resource Conservationist* Soil Conservationist* Water Conservationist,19-1031,Bachelor's degree,61480,61810,61110,61860,61220,61100,59530,59310,         60160,         58720,         56150
41,Construction managers    * Construction Coordinator* Construction Superintendent* General Contractor* Masonry Contractor Administrator,11-9021,Bachelor's degree,91370,89300,87400,85630,84410,82790,84240,83860,         82330,         79860,         76230
42,Cost estimators    * Construction Estimator* Construction Job Cost Estimator* Crating and Moving Estimator* Electrical Estimator* Job Estimator* Production Cost Estimator,13-1051,Bachelor's degree,63110,61790,60390,60050,59460,58860,58460,57860,         57300,         56510,         54920
